Day,00:00-02:00,02:00-04:00,04:00-06:00,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00,22:00-23:59,Only on Gas (DKK/kWh),Mixed usage (DKK/kWh),Potential savings (%)
2023-10-20,"Gas (0.8581, 0.763, 12.5%)","Gas (0.856, 0.763, 12.2%)","Gas (0.8698, 0.763, 14.0%)","Gas (0.903, 0.763, 18.3%)","Gas (0.9177, 0.763, 20.3%)","Gas (0.9224, 0.763, 20.9%)","Gas (0.9239, 0.763, 21.1%)","Gas (0.9295, 0.763, 21.8%)","Gas (0.9443, 0.763, 23.8%)","Gas (0.9606, 0.763, 25.9%)","Gas (0.9726, 0.763, 27.5%)","Gas (0.977, 0.763, 28.0%)",0.763,0.763,0.0
2023-10-19,"Gas (0.8682, 0.746, 16.4%)","Gas (0.8521, 0.746, 14.2%)","Gas (0.875, 0.746, 17.3%)","Gas (0.9267, 0.746, 24.2%)","Gas (0.9616, 0.746, 28.9%)","Gas (0.9834, 0.746, 31.8%)","Gas (0.998, 0.746, 33.8%)","Gas (1.0072, 0.746, 35.0%)","Gas (1.015, 0.746, 36.1%)","Gas (1.0125, 0.746, 35.7%)","Gas (1.0043, 0.746, 34.6%)","Gas (0.9992, 0.746, 33.9%)",0.746,0.746,0.0
2023-10-18,"Gas (1.2464, 0.77, 61.9%)","Gas (1.2099, 0.77, 57.1%)","Gas (1.2896, 0.77, 67.5%)","Gas (1.4643, 0.77, 90.2%)","Gas (1.4992, 0.77, 94.7%)","Gas (1.4851, 0.77, 92.9%)","Gas (1.4663, 0.77, 90.4%)","Gas (1.4571, 0.77, 89.2%)","Gas (1.4759, 0.77, 91.7%)","Gas (1.4534, 0.77, 88.8%)","Gas (1.4248, 0.77, 85.0%)","Gas (1.4092, 0.77, 83.0%)",0.77,0.77,0.0
2023-10-17,"Gas (1.6818, 0.737, 128.2%)","Gas (1.6484, 0.737, 123.7%)","Gas (1.6792, 0.737, 127.8%)","Gas (1.7864, 0.737, 142.4%)","Gas (1.8175, 0.737, 146.6%)","Gas (1.796, 0.737, 143.7%)","Gas (1.7363, 0.737, 135.6%)","Gas (1.7185, 0.737, 133.2%)","Gas (1.7458, 0.737, 136.9%)","Gas (1.7644, 0.737, 139.4%)","Gas (1.7585, 0.737, 138.6%)","Gas (1.7494, 0.737, 137.4%)",0.737,0.737,0.0
2023-10-16,"Gas (1.1001, 0.791, 39.1%)","Gas (1.108, 0.791, 40.1%)","Gas (1.1348, 0.791, 43.5%)","Gas (1.1932, 0.791, 50.8%)","Gas (1.2229, 0.791, 54.6%)","Gas (1.2305, 0.791, 55.6%)","Gas (1.239, 0.791, 56.6%)","Gas (1.3032, 0.791, 64.8%)","Gas (1.4018, 0.791, 77.2%)","Gas (1.4894, 0.791, 88.3%)","Gas (1.523, 0.791, 92.5%)","Gas (1.5312, 0.791, 93.6%)",0.791,0.791,0.0
2023-10-15,"Gas (0.8117, 0.781, 3.9%)","Gas (0.8117, 0.781, 3.9%)","Gas (0.8146, 0.781, 4.3%)","Gas (0.82, 0.781, 5.0%)","Gas (0.8241, 0.781, 5.5%)","Gas (0.8244, 0.781, 5.6%)","Gas (0.8237, 0.781, 5.5%)","Gas (0.8249, 0.781, 5.6%)","Gas (0.8508, 0.781, 8.9%)","Gas (0.874, 0.781, 11.9%)","Gas (0.8936, 0.781, 14.4%)","Gas (0.9024, 0.781, 15.5%)",0.781,0.781,0.0
2023-10-14,"Gas (0.8028, 0.765, 4.9%)","Gas (0.8004, 0.765, 4.6%)","Gas (0.8073, 0.765, 5.5%)","Gas (0.8235, 0.765, 7.6%)","Gas (0.8309, 0.765, 8.6%)","Gas (0.8337, 0.765, 9.0%)","Gas (0.8348, 0.765, 9.1%)","Gas (0.8377, 0.765, 9.5%)","Gas (0.8409, 0.765, 9.9%)","Gas (0.8436, 0.765, 10.3%)","Gas (0.8438, 0.765, 10.3%)","Gas (0.8433, 0.765, 10.2%)",0.765,0.765,0.0
2023-10-13,"Gas (1.6719, 0.778, 114.9%)","Gas (1.628, 0.778, 109.3%)","Gas (1.5591, 0.778, 100.4%)","Gas (1.489, 0.778, 91.4%)","Gas (1.4388, 0.778, 84.9%)","Gas (1.3842, 0.778, 77.9%)","Gas (1.32, 0.778, 69.7%)","Gas (1.2696, 0.778, 63.2%)","Gas (1.2323, 0.778, 58.4%)","Gas (1.2082, 0.778, 55.3%)","Gas (1.1783, 0.778, 51.5%)","Gas (1.1636, 0.778, 49.6%)",0.778,0.778,0.0
2023-10-12,"Gas (0.8256, 0.731, 12.9%)","Gas (0.8289, 0.731, 13.4%)","Gas (0.855, 0.731, 17.0%)","Gas (0.8991, 0.731, 23.0%)","Gas (0.9279, 0.731, 26.9%)","Gas (0.9459, 0.731, 29.4%)","Gas (0.9622, 0.731, 31.6%)","Gas (0.9913, 0.731, 35.6%)","Gas (1.101, 0.731, 50.6%)","Gas (1.2102, 0.731, 65.6%)","Gas (1.2604, 0.731, 72.4%)","Gas (1.2766, 0.731, 74.6%)",0.731,0.731,0.0
2023-10-11,"Gas (0.8215, 0.728, 12.8%)","Gas (0.8176, 0.728, 12.3%)","Gas (0.8252, 0.728, 13.4%)","Gas (0.8534, 0.728, 17.2%)","Gas (0.869, 0.728, 19.4%)","Gas (0.8682, 0.728, 19.3%)","Gas (0.867, 0.728, 19.1%)","Gas (0.8694, 0.728, 19.4%)","Gas (0.88, 0.728, 20.9%)","Gas (0.8883, 0.728, 22.0%)","Gas (0.8896, 0.728, 22.2%)","Gas (0.8887, 0.728, 22.1%)",0.728,0.728,0.0
2023-10-10,"Gas (1.5685, 0.739, 112.2%)","Gas (1.5594, 0.739, 111.0%)","Gas (1.6091, 0.739, 117.7%)","Gas (1.7744, 0.739, 140.1%)","Gas (1.7764, 0.739, 140.4%)","Gas (1.7492, 0.739, 136.7%)","Gas (1.689, 0.739, 128.6%)","Gas (1.6315, 0.739, 120.8%)","Gas (1.5782, 0.739, 113.6%)","Gas (1.522, 0.739, 106.0%)","Gas (1.4653, 0.739, 98.3%)","Gas (1.4391, 0.739, 94.7%)",0.739,0.739,0.0
2023-10-09,"Gas (1.4604, 0.704, 107.4%)","Gas (1.4282, 0.704, 102.9%)","Gas (1.4418, 0.704, 104.8%)","Gas (1.5038, 0.704, 113.6%)","Gas (1.5394, 0.704, 118.7%)","Gas (1.5476, 0.704, 119.8%)","Gas (1.5545, 0.704, 120.8%)","Gas (1.5672, 0.704, 122.6%)","Gas (1.6147, 0.704, 129.4%)","Gas (1.6843, 0.704, 139.2%)","Gas (1.692, 0.704, 140.3%)","Gas (1.6912, 0.704, 140.2%)",0.704,0.704,0.0
2023-10-08,"Gas (1.0258, 0.651, 57.6%)","Gas (1.1251, 0.651, 72.8%)","Gas (1.2094, 0.651, 85.8%)","Gas (1.2927, 0.651, 98.6%)","Gas (1.3361, 0.651, 105.2%)","Gas (1.3427, 0.651, 106.3%)","Gas (1.329, 0.651, 104.1%)","Gas (1.3403, 0.651, 105.9%)","Gas (1.3844, 0.651, 112.7%)","Gas (1.4362, 0.651, 120.6%)","Gas (1.4532, 0.651, 123.2%)","Gas (1.4572, 0.651, 123.8%)",0.651,0.651,0.0
2023-10-07,"Gas (0.7936, 0.647, 22.7%)","Gas (0.7948, 0.647, 22.8%)","Gas (0.8046, 0.647, 24.4%)","Gas (0.8173, 0.647, 26.3%)","Gas (0.8454, 0.647, 30.7%)","Gas (0.8648, 0.647, 33.7%)","Gas (0.8647, 0.647, 33.6%)","Gas (0.9008, 0.647, 39.2%)","Gas (0.9705, 0.647, 50.0%)","Gas (1.0278, 0.647, 58.9%)","Gas (1.0335, 0.647, 59.7%)","Gas (1.0336, 0.647, 59.8%)",0.647,0.647,0.0
2023-10-06,"Gas (1.1908, 0.605, 96.8%)","Gas (1.0486, 0.605, 73.3%)","Gas (0.9978, 0.605, 64.9%)","Gas (0.9948, 0.605, 64.4%)","Gas (0.9851, 0.605, 62.8%)","Gas (0.9725, 0.605, 60.7%)","Gas (0.9587, 0.605, 58.5%)","Gas (0.949, 0.605, 56.9%)","Gas (0.9418, 0.605, 55.7%)","Gas (0.9351, 0.605, 54.6%)","Gas (0.9272, 0.605, 53.3%)","Gas (0.9228, 0.605, 52.5%)",0.605,0.605,0.0
2023-10-05,"Gas (0.8114, 0.638, 27.2%)","Gas (0.8114, 0.638, 27.2%)","Gas (0.8216, 0.638, 28.8%)","Gas (0.8421, 0.638, 32.0%)","Gas (0.8556, 0.638, 34.1%)","Gas (0.8634, 0.638, 35.3%)","Gas (0.8679, 0.638, 36.0%)","Gas (0.8972, 0.638, 40.6%)","Gas (1.0017, 0.638, 57.0%)","Gas (1.1265, 0.638, 76.6%)","Gas (1.1705, 0.638, 83.5%)","Gas (1.1857, 0.638, 85.8%)",0.638,0.638,0.0
2023-10-04,"Gas (0.8119, 0.641, 26.7%)","Gas (0.8115, 0.641, 26.6%)","Gas (0.82, 0.641, 27.9%)","Gas (0.8369, 0.641, 30.6%)","Gas (0.8457, 0.641, 31.9%)","Gas (0.8498, 0.641, 32.6%)","Gas (0.8523, 0.641, 33.0%)","Gas (0.8549, 0.641, 33.4%)","Gas (0.8582, 0.641, 33.9%)","Gas (0.8598, 0.641, 34.1%)","Gas (0.8586, 0.641, 33.9%)","Gas (0.8573, 0.641, 33.7%)",0.641,0.641,0.0
2023-10-03,"Gas (1.4683, 0.584, 151.4%)","Gas (1.2685, 0.584, 117.2%)","Gas (1.1569, 0.584, 98.1%)","Gas (1.1308, 0.584, 93.6%)","Gas (1.0847, 0.584, 85.7%)","Gas (1.0523, 0.584, 80.2%)","Gas (1.0272, 0.584, 75.9%)","Gas (1.0074, 0.584, 72.5%)","Gas (1.0003, 0.584, 71.3%)","Gas (0.993, 0.584, 70.0%)","Gas (0.9823, 0.584, 68.2%)","Gas (0.9762, 0.584, 67.2%)",0.584,0.584,0.0
2023-10-02,"Gas (1.5114, 0.665, 127.3%)","Gas (1.5115, 0.665, 127.3%)","Gas (1.5533, 0.665, 133.6%)","Gas (1.6314, 0.665, 145.3%)","Gas (1.6441, 0.665, 147.2%)","Gas (1.6238, 0.665, 144.2%)","Gas (1.6056, 0.665, 141.4%)","Gas (1.6007, 0.665, 140.7%)","Gas (1.6505, 0.665, 148.2%)","Gas (1.7163, 0.665, 158.1%)","Gas (1.713, 0.665, 157.6%)","Gas (1.7073, 0.665, 156.7%)",0.665,0.665,0.0
2023-10-01,"Gas (1.5214, 0.682, 123.1%)","Gas (1.487, 0.682, 118.0%)","Gas (1.4785, 0.682, 116.8%)","Gas (1.4756, 0.682, 116.4%)","Gas (1.428, 0.682, 109.4%)","Gas (1.3413, 0.682, 96.7%)","Gas (1.2719, 0.682, 86.5%)","Gas (1.2482, 0.682, 83.0%)","Gas (1.2905, 0.682, 89.2%)","Gas (1.339, 0.682, 96.3%)","Gas (1.3668, 0.682, 100.4%)","Gas (1.3755, 0.682, 101.7%)",0.682,0.682,0.0
