Day,00:00-02:00,02:00-04:00,04:00-06:00,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00,22:00-23:59,Only on Gas (DKK/kWh),Mixed usage (DKK/kWh),Potential savings (%)
2023-10-31,"Gas (1.4018, 0.781, 79.5%)","Gas (1.3549, 0.781, 73.5%)","Gas (1.37, 0.781, 75.4%)","Gas (1.4349, 0.781, 83.7%)","Gas (1.4613, 0.781, 87.1%)","Gas (1.4853, 0.781, 90.2%)","Gas (1.5025, 0.781, 92.4%)","Gas (1.5378, 0.781, 96.9%)","Gas (1.5976, 0.781, 104.6%)","Gas (1.6264, 0.781, 108.2%)","Gas (1.6301, 0.781, 108.7%)","Gas (1.6265, 0.781, 108.3%)",0.781,0.781,0.0
2023-10-30,"Gas (0.9154, 0.842, 8.7%)","Gas (0.9127, 0.842, 8.4%)","Gas (0.999, 0.842, 18.6%)","Gas (1.0953, 0.842, 30.1%)","Gas (1.1499, 0.842, 36.6%)","Gas (1.1831, 0.842, 40.5%)","Gas (1.2127, 0.842, 44.0%)","Gas (1.2502, 0.842, 48.5%)","Gas (1.2912, 0.842, 53.3%)","Gas (1.3077, 0.842, 55.3%)","Gas (1.3229, 0.842, 57.1%)","Gas (1.33, 0.842, 58.0%)",0.842,0.842,0.0
2023-10-29,"Gas (0.849, 0.839, 1.2%)","Gas (0.8397, 0.839, 0.1%)","Electricity (0.8297, 0.839, 1.1%)","Electricity (0.8268, 0.839, 1.5%)","Electricity (0.8276, 0.839, 1.4%)","Electricity (0.828, 0.839, 1.3%)","Electricity (0.8284, 0.839, 1.3%)","Electricity (0.8336, 0.839, 0.6%)","Gas (0.8818, 0.839, 5.1%)","Gas (0.9367, 0.839, 11.6%)","Gas (0.971, 0.839, 15.7%)","Gas (0.9923, 0.839, 18.3%)","Gas (0.9973, 0.839, 18.9%)",0.839,0.8344,0.55
2023-10-28,"Gas (1.3297, 0.838, 58.7%)","Gas (1.2922, 0.838, 54.2%)","Gas (1.2951, 0.838, 54.5%)","Gas (1.3338, 0.838, 59.2%)","Gas (1.3674, 0.838, 63.2%)","Gas (1.3694, 0.838, 63.4%)","Gas (1.3717, 0.838, 63.7%)","Gas (1.3843, 0.838, 65.2%)","Gas (1.4346, 0.838, 71.2%)","Gas (1.4371, 0.838, 71.5%)","Gas (1.4247, 0.838, 70.0%)","Gas (1.4148, 0.838, 68.8%)",0.838,0.838,0.0
2023-10-27,"Gas (1.5505, 0.837, 85.2%)","Gas (1.5447, 0.837, 84.6%)","Gas (1.5841, 0.837, 89.3%)","Gas (1.6669, 0.837, 99.2%)","Gas (1.6993, 0.837, 103.0%)","Gas (1.7044, 0.837, 103.6%)","Gas (1.6969, 0.837, 102.7%)","Gas (1.6952, 0.837, 102.5%)","Gas (1.7116, 0.837, 104.5%)","Gas (1.7234, 0.837, 105.9%)","Gas (1.7109, 0.837, 104.4%)","Gas (1.7034, 0.837, 103.5%)",0.837,0.837,0.0
2023-10-26,"Gas (1.2133, 0.841, 44.3%)","Gas (1.2355, 0.841, 46.9%)","Gas (1.2616, 0.841, 50.0%)","Gas (1.2861, 0.841, 52.9%)","Gas (1.3042, 0.841, 55.1%)","Gas (1.321, 0.841, 57.1%)","Gas (1.3301, 0.841, 58.2%)","Gas (1.3659, 0.841, 62.4%)","Gas (1.4267, 0.841, 69.6%)","Gas (1.4728, 0.841, 75.1%)","Gas (1.4924, 0.841, 77.5%)","Gas (1.4944, 0.841, 77.7%)",0.841,0.841,0.0
2023-10-25,"Gas (1.2097, 0.828, 46.1%)","Gas (1.2092, 0.828, 46.0%)","Gas (1.2206, 0.828, 47.4%)","Gas (1.2859, 0.828, 55.3%)","Gas (1.3712, 0.828, 65.6%)","Gas (1.4314, 0.828, 72.9%)","Gas (1.4747, 0.828, 78.1%)","Gas (1.4897, 0.828, 79.9%)","Gas (1.4942, 0.828, 80.5%)","Gas (1.4793, 0.828, 78.7%)","Gas (1.4945, 0.828, 80.5%)","Gas (1.4941, 0.828, 80.4%)",0.828,0.828,0.0
2023-10-24,"Gas (1.5407, 0.843, 82.8%)","Gas (1.5174, 0.843, 80.0%)","Gas (1.5092, 0.843, 79.0%)","Gas (1.5434, 0.843, 83.1%)","Gas (1.5134, 0.843, 79.5%)","Gas (1.4848, 0.843, 76.1%)","Gas (1.4626, 0.843, 73.5%)","Gas (1.4447, 0.843, 71.4%)","Gas (1.4318, 0.843, 69.8%)","Gas (1.4201, 0.843, 68.5%)","Gas (1.4077, 0.843, 67.0%)","Gas (1.4015, 0.843, 66.3%)",0.843,0.843,0.0
2023-10-23,"Gas (1.4258, 0.827, 72.4%)","Gas (1.393, 0.827, 68.4%)","Gas (1.4628, 0.827, 76.9%)","Gas (1.6308, 0.827, 97.2%)","Gas (1.6751, 0.827, 102.6%)","Gas (1.6665, 0.827, 101.5%)","Gas (1.6597, 0.827, 100.7%)","Gas (1.6782, 0.827, 102.9%)","Gas (1.7147, 0.827, 107.3%)","Gas (1.7312, 0.827, 109.3%)","Gas (1.7217, 0.827, 108.2%)","Gas (1.7134, 0.827, 107.2%)",0.827,0.827,0.0
2023-10-22,"Gas (1.0313, 0.828, 24.6%)","Gas (0.9942, 0.828, 20.1%)","Gas (1.0136, 0.828, 22.4%)","Gas (1.0638, 0.828, 28.5%)","Gas (1.0922, 0.828, 31.9%)","Gas (1.1057, 0.828, 33.5%)","Gas (1.0995, 0.828, 32.8%)","Gas (1.1157, 0.828, 34.7%)","Gas (1.1334, 0.828, 36.9%)","Gas (1.1455, 0.828, 38.3%)","Gas (1.1535, 0.828, 39.3%)","Gas (1.1563, 0.828, 39.6%)",0.828,0.828,0.0
2023-10-21,"Gas (1.0993, 0.815, 34.9%)","Gas (1.087, 0.815, 33.4%)","Gas (1.0943, 0.815, 34.3%)","Gas (1.1267, 0.815, 38.2%)","Gas (1.1438, 0.815, 40.3%)","Gas (1.1299, 0.815, 38.6%)","Gas (1.1054, 0.815, 35.6%)","Gas (1.1158, 0.815, 36.9%)","Gas (1.1514, 0.815, 41.3%)","Gas (1.163, 0.815, 42.7%)","Gas (1.1675, 0.815, 43.3%)","Gas (1.1659, 0.815, 43.1%)",0.815,0.815,0.0
2023-10-20,"Gas (0.8581, 0.821, 4.5%)","Gas (0.856, 0.821, 4.3%)","Gas (0.8698, 0.821, 5.9%)","Gas (0.903, 0.821, 10.0%)","Gas (0.9177, 0.821, 11.8%)","Gas (0.9224, 0.821, 12.4%)","Gas (0.9239, 0.821, 12.5%)","Gas (0.9295, 0.821, 13.2%)","Gas (0.9443, 0.821, 15.0%)","Gas (0.9606, 0.821, 17.0%)","Gas (0.9726, 0.821, 18.5%)","Gas (0.977, 0.821, 19.0%)",0.821,0.821,0.0
2023-10-19,"Gas (0.8682, 0.804, 8.0%)","Gas (0.8521, 0.804, 6.0%)","Gas (0.875, 0.804, 8.8%)","Gas (0.9267, 0.804, 15.3%)","Gas (0.9616, 0.804, 19.6%)","Gas (0.9834, 0.804, 22.3%)","Gas (0.998, 0.804, 24.1%)","Gas (1.0072, 0.804, 25.3%)","Gas (1.015, 0.804, 26.2%)","Gas (1.0125, 0.804, 25.9%)","Gas (1.0043, 0.804, 24.9%)","Gas (0.9992, 0.804, 24.3%)",0.804,0.804,0.0
2023-10-18,"Gas (1.2464, 0.828, 50.5%)","Gas (1.2099, 0.828, 46.1%)","Gas (1.2896, 0.828, 55.7%)","Gas (1.4643, 0.828, 76.8%)","Gas (1.4992, 0.828, 81.1%)","Gas (1.4851, 0.828, 79.4%)","Gas (1.4663, 0.828, 77.1%)","Gas (1.4571, 0.828, 76.0%)","Gas (1.4759, 0.828, 78.2%)","Gas (1.4534, 0.828, 75.5%)","Gas (1.4248, 0.828, 72.1%)","Gas (1.4092, 0.828, 70.2%)",0.828,0.828,0.0
