Day,00:00-02:00,02:00-04:00,04:00-06:00,06:00-08:00,08:00-10:00,10:00-12:00,12:00-14:00,14:00-16:00,16:00-18:00,18:00-20:00,20:00-22:00,22:00-23:59,Only on Gas (DKK/kWh),Mixed usage (DKK/kWh),Potential savings (%)
2023-10-17,"Gas (1.6818, 0.795, 111.5%)","Gas (1.6484, 0.795, 107.3%)","Gas (1.6792, 0.795, 111.2%)","Gas (1.7864, 0.795, 124.7%)","Gas (1.8175, 0.795, 128.6%)","Gas (1.796, 0.795, 125.9%)","Gas (1.7363, 0.795, 118.4%)","Gas (1.7185, 0.795, 116.2%)","Gas (1.7458, 0.795, 119.6%)","Gas (1.7644, 0.795, 121.9%)","Gas (1.7585, 0.795, 121.2%)","Gas (1.7494, 0.795, 120.1%)",0.795,0.795,0.0
2023-10-16,"Gas (1.1001, 0.849, 29.6%)","Gas (1.108, 0.849, 30.5%)","Gas (1.1348, 0.849, 33.7%)","Gas (1.1932, 0.849, 40.5%)","Gas (1.2229, 0.849, 44.0%)","Gas (1.2305, 0.849, 44.9%)","Gas (1.239, 0.849, 45.9%)","Gas (1.3032, 0.849, 53.5%)","Gas (1.4018, 0.849, 65.1%)","Gas (1.4894, 0.849, 75.4%)","Gas (1.523, 0.849, 79.4%)","Gas (1.5312, 0.849, 80.4%)",0.849,0.849,0.0
2023-10-15,"Electricity (0.8117, 0.839, 3.3%)","Electricity (0.8117, 0.839, 3.3%)","Electricity (0.8146, 0.839, 2.9%)","Electricity (0.82, 0.839, 2.3%)","Electricity (0.8241, 0.839, 1.8%)","Electricity (0.8244, 0.839, 1.7%)","Electricity (0.8237, 0.839, 1.8%)","Electricity (0.8249, 0.839, 1.7%)","Gas (0.8508, 0.839, 1.4%)","Gas (0.874, 0.839, 4.2%)","Gas (0.8936, 0.839, 6.5%)","Gas (0.9024, 0.839, 7.6%)",0.839,0.8259,1.56
2023-10-14,"Electricity (0.8028, 0.823, 2.5%)","Electricity (0.8004, 0.823, 2.7%)","Electricity (0.8073, 0.823, 1.9%)","Gas (0.8235, 0.823, 0.1%)","Gas (0.8309, 0.823, 1.0%)","Gas (0.8337, 0.823, 1.3%)","Gas (0.8348, 0.823, 1.4%)","Gas (0.8377, 0.823, 1.8%)","Gas (0.8409, 0.823, 2.2%)","Gas (0.8436, 0.823, 2.5%)","Gas (0.8438, 0.823, 2.5%)","Gas (0.8433, 0.823, 2.5%)",0.823,0.8181,0.6
2023-10-13,"Gas (1.6719, 0.836, 100.0%)","Gas (1.628, 0.836, 94.7%)","Gas (1.5591, 0.836, 86.5%)","Gas (1.489, 0.836, 78.1%)","Gas (1.4388, 0.836, 72.1%)","Gas (1.3842, 0.836, 65.6%)","Gas (1.32, 0.836, 57.9%)","Gas (1.2696, 0.836, 51.9%)","Gas (1.2323, 0.836, 47.4%)","Gas (1.2082, 0.836, 44.5%)","Gas (1.1783, 0.836, 40.9%)","Gas (1.1636, 0.836, 39.2%)",0.836,0.836,0.0
2023-10-12,"Gas (0.8256, 0.789, 4.6%)","Gas (0.8289, 0.789, 5.1%)","Gas (0.855, 0.789, 8.4%)","Gas (0.8991, 0.789, 14.0%)","Gas (0.9279, 0.789, 17.6%)","Gas (0.9459, 0.789, 19.9%)","Gas (0.9622, 0.789, 22.0%)","Gas (0.9913, 0.789, 25.6%)","Gas (1.101, 0.789, 39.5%)","Gas (1.2102, 0.789, 53.4%)","Gas (1.2604, 0.789, 59.7%)","Gas (1.2766, 0.789, 61.8%)",0.789,0.789,0.0
2023-10-11,"Gas (0.8215, 0.786, 4.5%)","Gas (0.8176, 0.786, 4.0%)","Gas (0.8252, 0.786, 5.0%)","Gas (0.8534, 0.786, 8.6%)","Gas (0.869, 0.786, 10.6%)","Gas (0.8682, 0.786, 10.5%)","Gas (0.867, 0.786, 10.3%)","Gas (0.8694, 0.786, 10.6%)","Gas (0.88, 0.786, 12.0%)","Gas (0.8883, 0.786, 13.0%)","Gas (0.8896, 0.786, 13.2%)","Gas (0.8887, 0.786, 13.1%)",0.786,0.786,0.0
2023-10-10,"Gas (1.5685, 0.797, 96.8%)","Gas (1.5594, 0.797, 95.7%)","Gas (1.6091, 0.797, 101.9%)","Gas (1.7744, 0.797, 122.6%)","Gas (1.7764, 0.797, 122.9%)","Gas (1.7492, 0.797, 119.5%)","Gas (1.689, 0.797, 111.9%)","Gas (1.6315, 0.797, 104.7%)","Gas (1.5782, 0.797, 98.0%)","Gas (1.522, 0.797, 91.0%)","Gas (1.4653, 0.797, 83.9%)","Gas (1.4391, 0.797, 80.6%)",0.797,0.797,0.0
2023-10-09,"Gas (1.4604, 0.761, 91.9%)","Gas (1.4282, 0.761, 87.7%)","Gas (1.4418, 0.761, 89.5%)","Gas (1.5038, 0.761, 97.6%)","Gas (1.5394, 0.761, 102.3%)","Gas (1.5476, 0.761, 103.4%)","Gas (1.5545, 0.761, 104.3%)","Gas (1.5672, 0.761, 105.9%)","Gas (1.6147, 0.761, 112.2%)","Gas (1.6843, 0.761, 121.3%)","Gas (1.692, 0.761, 122.3%)","Gas (1.6912, 0.761, 122.2%)",0.761,0.761,0.0
2023-10-08,"Gas (1.0258, 0.709, 44.7%)","Gas (1.1251, 0.709, 58.7%)","Gas (1.2094, 0.709, 70.6%)","Gas (1.2927, 0.709, 82.3%)","Gas (1.3361, 0.709, 88.4%)","Gas (1.3427, 0.709, 89.4%)","Gas (1.329, 0.709, 87.4%)","Gas (1.3403, 0.709, 89.0%)","Gas (1.3844, 0.709, 95.3%)","Gas (1.4362, 0.709, 102.6%)","Gas (1.4532, 0.709, 105.0%)","Gas (1.4572, 0.709, 105.5%)",0.709,0.709,0.0
2023-10-07,"Gas (0.7936, 0.705, 12.6%)","Gas (0.7948, 0.705, 12.7%)","Gas (0.8046, 0.705, 14.1%)","Gas (0.8173, 0.705, 15.9%)","Gas (0.8454, 0.705, 19.9%)","Gas (0.8648, 0.705, 22.7%)","Gas (0.8647, 0.705, 22.7%)","Gas (0.9008, 0.705, 27.8%)","Gas (0.9705, 0.705, 37.7%)","Gas (1.0278, 0.705, 45.8%)","Gas (1.0335, 0.705, 46.6%)","Gas (1.0336, 0.705, 46.6%)",0.705,0.705,0.0
2023-10-06,"Gas (1.1908, 0.663, 79.6%)","Gas (1.0486, 0.663, 58.2%)","Gas (0.9978, 0.663, 50.5%)","Gas (0.9948, 0.663, 50.0%)","Gas (0.9851, 0.663, 48.6%)","Gas (0.9725, 0.663, 46.7%)","Gas (0.9587, 0.663, 44.6%)","Gas (0.949, 0.663, 43.1%)","Gas (0.9418, 0.663, 42.1%)","Gas (0.9351, 0.663, 41.0%)","Gas (0.9272, 0.663, 39.8%)","Gas (0.9228, 0.663, 39.2%)",0.663,0.663,0.0
2023-10-05,"Gas (0.8114, 0.696, 16.6%)","Gas (0.8114, 0.696, 16.6%)","Gas (0.8216, 0.696, 18.0%)","Gas (0.8421, 0.696, 21.0%)","Gas (0.8556, 0.696, 22.9%)","Gas (0.8634, 0.696, 24.1%)","Gas (0.8679, 0.696, 24.7%)","Gas (0.8972, 0.696, 28.9%)","Gas (1.0017, 0.696, 43.9%)","Gas (1.1265, 0.696, 61.9%)","Gas (1.1705, 0.696, 68.2%)","Gas (1.1857, 0.696, 70.4%)",0.696,0.696,0.0
2023-10-04,"Gas (0.8119, 0.699, 16.2%)","Gas (0.8115, 0.699, 16.1%)","Gas (0.82, 0.699, 17.3%)","Gas (0.8369, 0.699, 19.7%)","Gas (0.8457, 0.699, 21.0%)","Gas (0.8498, 0.699, 21.6%)","Gas (0.8523, 0.699, 21.9%)","Gas (0.8549, 0.699, 22.3%)","Gas (0.8582, 0.699, 22.8%)","Gas (0.8598, 0.699, 23.0%)","Gas (0.8586, 0.699, 22.8%)","Gas (0.8573, 0.699, 22.6%)",0.699,0.699,0.0
2023-10-03,"Gas (1.4683, 0.642, 128.7%)","Gas (1.2685, 0.642, 97.6%)","Gas (1.1569, 0.642, 80.2%)","Gas (1.1308, 0.642, 76.1%)","Gas (1.0847, 0.642, 69.0%)","Gas (1.0523, 0.642, 63.9%)","Gas (1.0272, 0.642, 60.0%)","Gas (1.0074, 0.642, 56.9%)","Gas (1.0003, 0.642, 55.8%)","Gas (0.993, 0.642, 54.7%)","Gas (0.9823, 0.642, 53.0%)","Gas (0.9762, 0.642, 52.1%)",0.642,0.642,0.0
2023-10-02,"Gas (1.5114, 0.723, 109.0%)","Gas (1.5115, 0.723, 109.1%)","Gas (1.5533, 0.723, 114.8%)","Gas (1.6314, 0.723, 125.6%)","Gas (1.6441, 0.723, 127.4%)","Gas (1.6238, 0.723, 124.6%)","Gas (1.6056, 0.723, 122.1%)","Gas (1.6007, 0.723, 121.4%)","Gas (1.6505, 0.723, 128.3%)","Gas (1.7163, 0.723, 137.4%)","Gas (1.713, 0.723, 136.9%)","Gas (1.7073, 0.723, 136.1%)",0.723,0.723,0.0
2023-10-01,"Gas (1.5214, 0.739, 105.9%)","Gas (1.487, 0.739, 101.2%)","Gas (1.4785, 0.739, 100.1%)","Gas (1.4756, 0.739, 99.7%)","Gas (1.428, 0.739, 93.2%)","Gas (1.3413, 0.739, 81.5%)","Gas (1.2719, 0.739, 72.1%)","Gas (1.2482, 0.739, 68.9%)","Gas (1.2905, 0.739, 74.6%)","Gas (1.339, 0.739, 81.2%)","Gas (1.3668, 0.739, 85.0%)","Gas (1.3755, 0.739, 86.1%)",0.739,0.739,0.0
